"","connect","help","increas","influenc","inform","mani","may","peopl","share","way","activ","impact","import","time","onlin"
"marketing1.txt",1,5,4,1,5,1,1,2,2,2,0,0,0,0,0
"marketing2.txt",7,3,0,3,1,1,0,0,7,1,2,2,1,2,0
"marketing3.txt",3,1,2,9,1,1,3,1,1,5,0,1,1,3,1
"marketing4.txt",4,3,1,2,2,1,3,1,3,1,2,3,4,1,11
"marketing5.txt",1,2,2,1,2,2,1,0,4,0,2,1,1,1,4
"mental1.txt",4,7,1,1,0,2,5,6,1,3,1,1,3,1,3
"mental2.txt",1,1,1,0,0,0,2,6,0,1,1,3,1,2,1
"mental3.txt",1,3,9,9,1,1,2,3,1,1,1,5,0,1,7
"mental4.txt",7,2,1,1,0,6,2,9,0,5,1,4,2,3,4
"mental5.txt",4,3,1,3,2,5,0,9,1,0,2,1,5,1,4
"security1.txt",2,0,2,1,20,3,4,3,12,1,5,1,1,1,2
"security2.txt",0,0,0,0,4,1,2,0,1,0,0,2,2,2,0
"security3.txt",0,0,3,3,7,0,1,0,0,0,4,2,0,2,2
"security4.txt",2,0,1,0,17,0,0,3,5,2,2,1,1,0,1
"security5.txt",1,2,0,2,0,0,0,1,0,1,0,0,0,2,6
